venue, city,  capacity, lat, long
Auditorio ITM (floresta),medellin, 300, -75.60211658477783,  6.257017987009706
Flames Central, calgary, 800,   -114.06635373830794,51.04558794036408
MaMM (aula taller), medellin, 50, -75.57376027107237, 6.223539719074986
Platohedro, medellin, 100, -75.55658340454102,6.243644000874042
Playstation Theater, new york, 1200,  -73.98650944232939, 40.75776579899014
Queen Elizabeth Theater, toronto, 1250, -79.4211745262146,43.633027370687664
Teatro Lido,medellin, 1400, -75.5644530057907, 6.25222941404674
Teatro Pablo Tobon Uribe,medellin, 923,  -75.55927366018295, 6.2475474484229325
The Filmore,miami, 2462, -80.1333600282669, 25.792820304034187
The Filmore,silver spring, 2000, -77.02748537063599, 38.997441076321074
The House of Blues, orlando,1500 , -81.5217250585556, 28.37085577089754
The House of Blues, houston, 1000,  -79.4211745262146, 43.633027370687664
Wornderland Ballroom, boston, 1300, -70.9920859336853, 42.41421342557534
